age,balance,campaign,previous,positive_balance_flag,job,marital,education,housing,loan,poutcome,target,score,decile,profit,scorecard_points,overall_response_rate,model_auc
69,2144,1,4,1,retired,single,tertiary,no,no,success,1,0.8539667650724794,1,490,544.5287735473973,0.1170008846947803,0.7321561611025206
26,10086,3,2,1,student,single,tertiary,no,no,success,0,0.849611855303788,1,-10,565.0399480183302,0.1170008846947803,0.7321561611025206
27,1134,1,4,1,student,single,tertiary,no,no,success,1,0.8489867562418564,1,490,519.8659986136568,0.1170008846947803,0.7321561611025206
31,64,1,2,1,student,single,tertiary,no,no,success,0,0.8438382238962894,1,-10,499.4543437852217,0.1170008846947803,0.7321561611025206
28,1925,1,3,1,student,single,secondary,no,no,success,0,0.8221199349529171,1,-10,539.5785137720094,0.1170008846947803,0.7321561611025206
30,314,1,6,1,student,single,secondary,no,no,success,0,0.8208068861583585,1,-10,552.7536671134617,0.1170008846947803,0.7321561611025206
42,27696,1,7,1,management,married,tertiary,no,no,success,1,0.8186145601403046,1,490,561.9148379246357,0.1170008846947803,0.7321561611025206
20,215,1,6,1,student,single,secondary,no,no,success,1,0.8185929071744736,1,490,516.0060106955865,0.1170008846947803,0.7321561611025206
25,469,1,2,1,student,single,secondary,no,no,success,0,0.814909515154816,1,-10,510.4955835460572,0.1170008846947803,0.7321561611025206
30,48,1,2,1,student,single,secondary,no,no,success,1,0.8143081120358582,1,490,614.0147399724539,0.1170008846947803,0.7321561611025206
25,304,1,2,1,student,single,secondary,no,no,success,0,0.8143019033916955,1,-10,519.2106004683721,0.1170008846947803,0.7321561611025206
26,132,1,1,1,student,single,secondary,no,no,success,1,0.8124485994344984,1,490,558.1082282898219,0.1170008846947803,0.7321561611025206
41,7968,1,4,1,unemployed,single,tertiary,no,no,success,1,0.8115933511975321,1,490,520.3204732179946,0.1170008846947803,0.7321561611025206
21,123,1,1,1,student,single,secondary,no,no,success,1,0.8114557269801199,1,490,523.4855705239631,0.1170008846947803,0.7321561611025206
80,8304,1,11,1,retired,married,secondary,no,no,success,0,0.808011380651638,1,-10,543.7309735521545,0.1170008846947803,0.7321561611025206
76,2991,1,2,1,retired,married,tertiary,no,no,success,0,0.8063221615163582,1,-10,523.8715248069311,0.1170008846947803,0.7321561611025206
68,2820,1,3,1,retired,married,tertiary,no,no,success,0,0.8055478206399669,1,-10,593.1676386008518,0.1170008846947803,0.7321561611025206
66,1948,1,4,1,retired,married,tertiary,no,no,success,1,0.803265845198862,1,490,564.737255646522,0.1170008846947803,0.7321561611025206
74,1843,1,2,1,retired,married,tertiary,no,no,success,1,0.8015136185670968,1,490,526.5334704824905,0.1170008846947803,0.7321561611025206
22,423,1,10,1,student,single,primary,no,no,success,1,0.8001160739362887,1,490,525.9968526393048,0.1170008846947803,0.7321561611025206
83,4761,2,1,1,retired,married,tertiary,no,no,success,0,0.7977308383210613,1,-10,547.1264184333432,0.1170008846947803,0.7321561611025206
41,27696,2,3,1,management,married,tertiary,no,no,success,1,0.7976781955986562,1,490,539.5841252675352,0.1170008846947803,0.7321561611025206
69,4572,2,3,1,retired,divorced,secondary,no,no,success,0,0.7962121014043595,1,-10,511.67846827501,0.1170008846947803,0.7321561611025206
67,704,1,3,1,retired,divorced,secondary,no,no,success,1,0.7962071861883114,1,490,557.5472812168005,0.1170008846947803,0.7321561611025206
71,653,1,1,1,retired,married,tertiary,no,no,success,1,0.7947376323226599,1,490,553.3774929753657,0.1170008846947803,0.7321561611025206
77,0,1,1,0,retired,married,tertiary,no,no,success,1,0.7933668029159494,1,490,507.5241281314092,0.1170008846947803,0.7321561611025206
56,281,1,2,1,retired,married,tertiary,no,no,success,0,0.7916787651068373,1,-10,527.7110436007898,0.1170008846947803,0.7321561611025206
32,8866,2,2,1,admin.,single,tertiary,no,no,success,1,0.7892885961073143,1,490,523.4466436253007,0.1170008846947803,0.7321561611025206
60,514,2,10,1,retired,divorced,secondary,no,no,success,1,0.7887539104773117,1,490,530.5286605099311,0.1170008846947803,0.7321561611025206
74,1843,2,3,1,retired,married,tertiary,no,no,success,1,0.7872209105254534,1,490,531.8667194959891,0.1170008846947803,0.7321561611025206
24,474,1,1,1,student,single,primary,no,no,success,0,0.7870659417525661,1,-10,525.8474660636773,0.1170008846947803,0.7321561611025206
34,1974,1,3,1,unemployed,single,tertiary,no,no,success,1,0.7851901406190014,1,490,546.8928478114178,0.1170008846947803,0.7321561611025206
22,691,5,1,1,student,single,tertiary,no,no,success,1,0.7849212415233291,1,490,524.580591976065,0.1170008846947803,0.7321561611025206
72,3561,3,7,1,retired,married,tertiary,no,no,success,1,0.7837950814292082,1,490,526.380848958853,0.1170008846947803,0.7321561611025206
72,5715,1,2,1,retired,married,secondary,no,no,success,1,0.7825366077955187,1,490,505.28756422082876,0.1170008846947803,0.7321561611025206
53,2269,2,1,1,retired,married,tertiary,no,no,success,1,0.7813768779342729,1,490,542.0317732471736,0.1170008846947803,0.7321561611025206
30,5359,1,3,1,management,single,tertiary,no,no,success,1,0.7791707430977873,1,490,520.3079537210575,0.1170008846947803,0.7321561611025206
31,302,1,3,1,unemployed,single,tertiary,no,no,success,1,0.7775824503202917,1,490,547.7358719080527,0.1170008846947803,0.7321561611025206
77,4112,1,2,1,retired,married,secondary,no,no,success,1,0.7769025859681605,1,490,621.6969561518086,0.1170008846947803,0.7321561611025206
79,2787,1,1,1,retired,divorced,primary,no,no,success,1,0.7765349491452792,1,490,513.0411828210962,0.1170008846947803,0.7321561611025206
75,3771,1,2,1,retired,married,secondary,no,no,success,1,0.7750201742538553,1,490,550.7493127716904,0.1170008846947803,0.7321561611025206
31,533,1,9,1,management,single,tertiary,no,no,success,1,0.7685342326031379,1,490,511.29846043314865,0.1170008846947803,0.7321561611025206
62,569,1,8,1,retired,married,secondary,no,no,success,1,0.7681860651577812,1,490,524.917507119648,0.1170008846947803,0.7321561611025206
70,482,1,3,1,retired,divorced,primary,no,no,success,1,0.7679222893793148,1,490,533.1642965714613,0.1170008846947803,0.7321561611025206
68,1146,1,5,1,retired,married,secondary,no,no,success,1,0.7670789977277067,1,490,545.2396441571506,0.1170008846947803,0.7321561611025206
48,5689,2,1,1,management,single,tertiary,no,no,success,0,0.764257370400533,1,-10,516.2795134874013,0.1170008846947803,0.7321561611025206
74,935,1,3,1,retired,married,secondary,no,no,success,1,0.764181261794115,1,490,509.11090585085094,0.1170008846947803,0.7321561611025206
64,109,1,2,1,retired,divorced,primary,no,no,success,1,0.7632732025635102,1,490,539.4185982789802,0.1170008846947803,0.7321561611025206
36,538,1,5,1,management,single,tertiary,no,no,success,1,0.7630312291115504,1,490,523.8806583900256,0.1170008846947803,0.7321561611025206
33,1536,1,2,1,student,married,secondary,no,no,success,1,0.7627157003368967,1,490,535.897750382051,0.1170008846947803,0.7321561611025206
62,1495,1,2,1,retired,married,secondary,no,no,success,1,0.7622481402465884,1,490,514.0644711847715,0.1170008846947803,0.7321561611025206
32,1619,1,2,1,management,single,tertiary,no,no,success,0,0.7618568872234747,1,-10,544.2326662056107,0.1170008846947803,0.7321561611025206
60,1853,1,1,1,retired,married,secondary,no,no,success,1,0.7616938899230569,1,490,532.1515412056447,0.1170008846947803,0.7321561611025206
78,4807,2,4,1,retired,married,unknown,no,no,success,1,0.7614600836603518,1,490,572.0112435033068,0.1170008846947803,0.7321561611025206
57,1044,1,3,1,retired,married,secondary,no,no,success,1,0.7607937689796472,1,490,610.1444525989452,0.1170008846947803,0.7321561611025206
35,1120,1,2,1,management,single,tertiary,no,no,success,0,0.7603299760681259,1,-10,562.7028571250684,0.1170008846947803,0.7321561611025206
75,291,1,2,1,retired,married,secondary,no,no,success,1,0.7598802719263931,1,490,540.2823706482344,0.1170008846947803,0.7321561611025206
60,523,1,3,1,retired,married,secondary,no,no,success,1,0.7591641294309286,1,490,542.4141637610165,0.1170008846947803,0.7321561611025206
28,390,1,4,1,management,single,tertiary,no,no,success,1,0.7588594545468408,1,490,519.0120469431697,0.1170008846947803,0.7321561611025206
57,5313,2,1,1,retired,married,secondary,no,no,success,1,0.7587405944829372,1,490,514.5771137884763,0.1170008846947803,0.7321561611025206
68,2027,2,4,1,retired,divorced,primary,no,no,success,1,0.7584588413022822,1,490,515.145799518716,0.1170008846947803,0.7321561611025206
74,2308,2,2,1,retired,divorced,primary,no,no,success,0,0.7576973605041227,1,-10,543.1536641340246,0.1170008846947803,0.7321561611025206
31,617,1,2,1,management,single,tertiary,no,no,success,1,0.7571647885959962,1,490,527.0814281247372,0.1170008846947803,0.7321561611025206
61,11,1,3,1,retired,married,secondary,no,no,success,1,0.7571053418580433,1,490,537.7276164047228,0.1170008846947803,0.7321561611025206
32,5514,1,1,1,technician,single,tertiary,no,no,success,1,0.756977349986148,1,490,625.8695754091476,0.1170008846947803,0.7321561611025206
93,775,2,9,1,retired,married,unknown,no,no,success,1,0.7553949161662786,1,490,541.0453237237598,0.1170008846947803,0.7321561611025206
29,697,1,1,1,management,single,tertiary,no,no,success,1,0.7553519771568791,1,490,544.3282608622329,0.1170008846947803,0.7321561611025206
68,2027,2,2,1,retired,divorced,primary,no,no,success,1,0.7550453623958796,1,490,553.7424023770111,0.1170008846947803,0.7321561611025206
62,243,1,1,1,retired,married,secondary,no,no,success,0,0.7549601955421029,1,-10,520.8949184542683,0.1170008846947803,0.7321561611025206
26,362,1,2,1,management,single,tertiary,no,no,success,1,0.7548588738934421,1,490,522.7197123043497,0.1170008846947803,0.7321561611025206
28,187,1,1,1,management,single,tertiary,no,no,success,1,0.7528128623954149,1,490,626.9739632328316,0.1170008846947803,0.7321561611025206
33,935,2,8,1,management,single,tertiary,no,no,success,1,0.7514382525090308,1,490,525.8242404093555,0.1170008846947803,0.7321561611025206
41,3426,1,5,1,management,divorced,tertiary,no,no,success,0,0.7496676550702756,1,-10,563.384628539568,0.1170008846947803,0.7321561611025206
44,483,2,6,1,management,single,tertiary,no,no,success,1,0.7484863453261853,1,490,542.4042163936759,0.1170008846947803,0.7321561611025206
33,1536,2,4,1,student,married,secondary,no,no,success,1,0.7482633017151991,1,490,523.8222698225104,0.1170008846947803,0.7321561611025206
77,820,2,4,1,retired,married,secondary,no,no,success,1,0.7482273455794193,1,490,544.6696847305183,0.1170008846947803,0.7321561611025206
56,9367,2,2,1,retired,married,primary,no,no,success,1,0.7480346483770621,1,490,521.2915421650242,0.1170008846947803,0.7321561611025206
44,11115,1,4,1,technician,single,unknown,no,no,success,0,0.7467819261712998,1,-10,532.2662027090287,0.1170008846947803,0.7321561611025206
68,1146,2,3,1,retired,married,secondary,no,no,success,1,0.7458400935290289,1,490,530.5780353995494,0.1170008846947803,0.7321561611025206
35,5462,1,1,1,self-employed,single,tertiary,no,no,success,1,0.7452605159599676,1,490,521.451812321984,0.1170008846947803,0.7321561611025206
76,3324,1,3,1,retired,married,primary,no,no,success,1,0.7449792237182674,1,490,536.2571091567834,0.1170008846947803,0.7321561611025206
24,1506,2,4,1,management,single,tertiary,no,no,success,1,0.7449434840047957,1,490,528.1358927394947,0.1170008846947803,0.7321561611025206
68,1443,2,1,1,retired,married,secondary,no,no,success,1,0.7436917268236929,1,490,528.2486246702283,0.1170008846947803,0.7321561611025206
33,1781,2,1,1,management,single,tertiary,no,no,success,1,0.7430769181129078,1,490,532.1002238314262,0.1170008846947803,0.7321561611025206
29,1445,2,2,1,management,single,tertiary,no,no,success,1,0.7423225450882349,1,490,528.8328852355239,0.1170008846947803,0.7321561611025206
30,533,2,4,1,management,single,tertiary,no,no,success,1,0.7418560485201708,1,490,512.2783714158003,0.1170008846947803,0.7321561611025206
